sentences,cleaned_text,sentiment_value,word_count,category,cleaned_text_1,polarity
so enthused with these manmade materials that i was in a,enthus manmad materi,0,11,Neutral,"['enthus', 'manmad', 'materi']",0.0
hurry to know everything about them almost overnight i,hurri know everyth almost overnight,0,9,Neutral,"['hurri', 'know', 'everyth', 'overnight']",0.0
used to read up everything available on related topics i,use read everyth avail relat topic,0,10,Neutral,"['use', 'read', 'everyth', 'avail', 'relat', 'topic']",0.0
was particularly interested in the glass and carbon fibre,particularli interest glass carbon fibr,2,9,Positive,"['particularli', 'interest', 'glass', 'carbon', 'fibr']",0.0
reinforced plastic frp composites,reinforc plastic frp composit,0,4,Neutral,"['reinforc', 'plastic', 'frp', 'composit']",0.0
an frp composite is composed of an inorganic fibre,frp composit compos inorgan fibr,0,9,Neutral,"['frp', 'composit', 'compos', 'inorgan', 'fibr']",0.0
woven into a matrix that encloses it and gives the,woven matrix enclos give,0,10,Neutral,"['woven', 'matrix', 'enclos']",0.0
component its bulk form in february 1969 prime minister,compon bulk form februari prime minist,0,9,Neutral,"['compon', 'bulk', 'form', 'februari', 'prime', 'minist']",0.0
indira gandhi visited thumba to dedicate terls to the,indira gandhi visit thumba dedic terl,0,9,Neutral,"['indira', 'gandhi', 'visit', 'thumba', 'dedic', 'terl']",0.0
international space science community on this occasion,intern space scienc commun occas,0,7,Neutral,"['intern', 'space', 'scienc', 'commun', 'occas']",0.0
she commissioned the country’s first filament winding,commiss countri first filament wind,0,7,Neutral,"['commiss', 'countri', 'filament', 'wind']",0.25
machine in our laboratory this event brought my team,machin laboratori event brought team,0,9,Neutral,"['machin', 'laboratori', 'event', 'bring', 'team']",0.0
which included cr satya pn subramanian and mn,includ cr satya pn subramanian mn,0,8,Neutral,"['includ', 'satya', 'subramanian']",0.0
satyanarayana great satisfaction we made highstrength,satyanarayana great satisfact made highstrength,3,6,Positive,"['satyanarayana', 'great', 'satisfact', 'highstrength']",0.8
glass cloth laminates to build nonmagnetic payload,glass cloth lamin build nonmagnet payload,0,7,Neutral,"['glass', 'cloth', 'lamin', 'build', 'nonmagnet', 'payload']",0.0
housings and flew them in twostage sounding rockets we,hous flew twostag sound rocket,0,9,Neutral,"['hous', 'fly', 'twostag', 'sound', 'rocket']",0.4
also wound and test flew rocket motor casings of up to 360,also wound test flew rocket motor case,0,12,Neutral,"['wound', 'test', 'fly', 'rocket', 'motor', 'case']",0.0
mm diameter,mm diamet,0,2,Neutral,['diamet'],0.0
slowly but surely two indian rockets were born at,slowli sure two indian rocket born,0,9,Neutral,"['slowli', 'sure', 'indian', 'rocket', 'bear']",0.5
thumba they were christened rohini and menaka after,thumba christen rohini menaka,0,8,Neutral,"['thumba', 'christen', 'rohini', 'menaka']",0.0
the two mythological dancers in the court of indra the king,two mytholog dancer court indra king,0,11,Neutral,"['mytholog', 'dancer', 'court', 'indra', 'king']",0.0
of the sky the indian payloads no longer needed to be,sky indian payload longer need,-1,11,Negative,"['sky', 'indian', 'payload', 'long', 'need']",0.0
launched by french rockets could this have been done but,launch french rocket could done,0,10,Neutral,"['launch', 'french', 'rocket']",0.0
for the atmosphere of trust and commitment which prof,atmospher trust commit prof,3,9,Positive,"['atmospher', 'trust', 'commit', 'prof']",0.0
sarabhai had created at incospar he brought into use,sarabhai creat incospar brought use,0,9,Neutral,"['sarabhai', 'creat', 'incospar', 'bring', 'use']",0.0
each person’s knowledge and skills he made every man,person knowledg skill made everi man,0,9,Neutral,"['person', 'knowledg', 'skill', 'everi', 'man']",0.0
feel directly involved in problem solving by the very fact of,feel directli involv problem solv fact,-1,11,Negative,"['feel', 'directli', 'involv', 'problem', 'solv', 'fact']",0.0
the team members’ participation the solutions became,team member particip solut becam,1,7,Positive,"['team', 'member', 'particip', 'solut', 'becam']",0.0
genuine and earned the trust of the entire team resulting in,genuin earn trust entir team result,1,11,Positive,"['genuin', 'earn', 'trust', 'entir', 'team', 'result']",0.0
total commitment towards implementation,total commit toward implement,2,4,Positive,"['total', 'commit', 'implement']",0.0
prof sarabhai was matteroffact and never tried to,prof sarabhai matteroffact never tri,0,8,Neutral,"['prof', 'sarabhai', 'matteroffact', 'tri']",0.0
hide his disappointment he used to talk with us in an,hide disappoint use talk us,-3,11,Negative,"['hide', 'disappoint', 'use', 'talk']",0.0
honest and objective manner sometimes i found him,honest object manner sometim found,2,8,Positive,"['honest', 'object', 'manner', 'sometim', 'find']",0.6
making things look more positive than they actually were,make thing look posit actual,2,9,Positive,"['thing', 'look', 'posit', 'actual']",0.0
and then charming us by his almost magical powers of,charm us almost magic power,3,10,Positive,"['charm', 'magic', 'power']",0.5
persuasion when we were at the drawing board he would,persuas draw board would,0,10,Neutral,"['persuas', 'draw', 'board']",0.0
bring someone from the developed world for a technical,bring someon develop world technic,0,9,Neutral,"['bring', 'someon', 'develop', 'world', 'technic']",0.0
collaboration that was his subtle way of challenging each,collabor subtl way challeng,-1,9,Negative,"['collabor', 'subtl', 'way', 'challeng']",0.0
one of us to stretch our capabilities,one us stretch capabl,0,7,Neutral,"['stretch', 'capabl']",0.0
at the same time even if we failed to meet certain,time even fail meet certain,-1,11,Negative,"['time', 'fail', 'meet', 'certain']",-0.14285714285714285
objectives he would praise whatever we had,object would prais whatev,3,7,Positive,"['object', 'prais', 'whatev']",0.0
accomplished whenever he found any one of us going,accomplish whenev found one us go,2,9,Positive,"['accomplish', 'whenev', 'find']",0.0
over his head and attempting a task for which he did not,head attempt task,0,12,Neutral,"['head', 'attempt', 'task']",0.0
have the capability or skill prof sarabhai would reassign,capabl skill prof sarabhai would reassign,0,9,Neutral,"['capabl', 'skill', 'prof', 'sarabhai', 'reassign']",0.0
activity in such a way so as to lower pressure and permit,activ way lower pressur permit,-1,12,Negative,"['activ', 'way', 'low', 'pressur', 'permit']",0.0
better quality work to be performed by the time the first,better qualiti work perform time first,0,11,Neutral,"['well', 'qualiti', 'work', 'perform', 'time']",0.375
rohini75 rocket was launched from terls on 20,rohini rocket launch terl,0,8,Neutral,"['rohini', 'rocket', 'launch', 'terl']",0.0
november 1967 almost each one of us was in his own,novemb almost one us,0,11,Neutral,['novemb'],0.0
groove,groov,0,1,Neutral,['groov'],0.0
early next year prof sarabhai wanted to see me,earli next year prof sarabhai want see,1,9,Positive,"['earli', 'year', 'prof', 'sarabhai', 'want']",0.0
urgently in delhi by now i was accustomed to prof,urgent delhi accustom prof,0,10,Neutral,"['urgent', 'delhi', 'accustom', 'prof']",0.0
sarabhai’s working methods he was always full of,sarabhai work method alway full,0,8,Neutral,"['sarabhai', 'work', 'method', 'alway']",0.35
enthusiasm and optimism in such a state of mind sudden,enthusiasm optim state mind sudden,2,10,Positive,"['enthusiasm', 'optim', 'state', 'mind', 'sudden']",0.0
flashes of inspiration were almost natural on reaching,flash inspir almost natur reach,4,8,Positive,"['flash', 'inspir', 'natur', 'reach']",0.0
delhi i contacted prof sarabhai’s secretary for an,delhi contact prof sarabhai secretari,0,8,Neutral,"['delhi', 'contact', 'prof', 'sarabhai', 'secretari']",0.0
appointment and was asked to meet him at 330 am at,appoint ask meet,0,11,Neutral,"['appoint', 'ask', 'meet']",0.0
hotel ashoka delhi being a slightly unfamiliar place with,hotel ashoka delhi slightli unfamiliar place,0,9,Neutral,"['hotel', 'ashoka', 'delhi', 'slightli', 'unfamiliar', 'place']",0.0
an unfriendly climate for someone like me conditioned to,unfriendli climat someon like condit,2,9,Positive,"['unfriendli', 'climat', 'someon', 'like', 'condit']",0.0
the warm and humid climate of south india i decided to,warm humid climat south india decid,1,11,Positive,"['warm', 'humid', 'climat', 'south', 'india', 'decid']",0.6
wait in the hotel lounge after finishing my dinner,wait hotel loung finish dinner,0,9,Neutral,"['wait', 'hotel', 'loung', 'finish', 'dinner']",0.0
i have always been a religious person in the sense that i,alway religi person sens,0,12,Neutral,"['alway', 'religi', 'person', 'sens']",0.0
maintain a working partnership with god i was aware that,maintain work partnership god awar,1,10,Positive,"['maintain', 'work', 'partnership', 'god', 'awar']",0.0
the best work required more ability than i possessed and,best work requir abil possess,5,10,Positive,"['good', 'work', 'requir', 'abil', 'possess']",1.0
therefore i needed help that only god could give me i made,therefor need help god could give made,3,12,Positive,"['therefor', 'need', 'help', 'god']",0.0
a true estimate of my own ability then raised it by 50 per,true estim abil rais per,2,13,Positive,"['true', 'estim', 'abil', 'rais']",0.35
cent and put myself in god’s hands in this partnership i,cent put god hand partnership,1,11,Positive,"['cent', 'god', 'hand', 'partnership']",0.0
have always received all the power i needed and in fact,alway receiv power need fact,0,11,Neutral,"['alway', 'receiv', 'power', 'need', 'fact']",0.0
have actually felt it flowing through me today i can affirm,actual felt flow today affirm,0,11,Neutral,"['actual', 'feel', 'flow', 'today', 'affirm']",0.0
that the kingdom of god is within you in the form of this,kingdom god within form,1,13,Positive,"['kingdom', 'god', 'form']",0.0
power to help achieve your goals and realise your dreams,power help achiev goal realis dream,3,10,Positive,"['power', 'help', 'achiev', 'goal', 'realis', 'dream']",0.0
there are many different types and levels of experience,mani differ type level experi,0,9,Neutral,"['mani', 'differ', 'type', 'level', 'experi']",0.0
that turn this internal power reaction critical sometimes,turn intern power reaction critic sometim,0,8,Neutral,"['turn', 'intern', 'power', 'reaction', 'critic', 'sometim']",0.0
when we are ready the gentlest of contacts with him fills us,readi gentlest contact fill us,0,12,Neutral,"['readi', 'gentle', 'contact', 'fill']",0.0
with insight and wisdom this could come from an,insight wisdom could come,0,9,Neutral,"['insight', 'wisdom', 'come']",0.0
encounter with another person from a word a question a,encount anoth person word question,0,10,Neutral,"['encount', 'anoth', 'person', 'word', 'question']",0.0
gesture or even a look many a time it could come even,gestur even look mani time could come even,0,12,Neutral,"['gestur', 'look', 'mani', 'time', 'come']",0.0
through a book a conversation some phrase even a line,book convers phrase even line,0,10,Neutral,"['book', 'conver', 'phrase', 'line']",0.0
from a poem or the mere sight of a picture without the,poem mere sight pictur without,0,12,Neutral,"['poem', 'mere', 'sight', 'pictur']",-0.5
slightest warning something new breaks into your life and a,slightest warn someth new break life,-2,10,Negative,"['slight', 'warn', 'someth', 'new', 'break', 'life']",0.13636363636363635
secret decision is taken a decision that you may be,secret decis taken decis may,0,10,Neutral,"['secret', 'decis', 'take', 'decis']",-0.4
completely unconscious of to start with,complet unconsci start,0,6,Neutral,"['complet', 'unconsci', 'start']",0.0
i looked around the elegant lounge somebody had left,look around eleg loung somebodi left,1,9,Positive,"['look', 'eleg', 'loung', 'somebodi', 'leave']",0.0
a book on a nearby sofa as if to fill the small hours of that,book nearbi sofa fill small hour,0,15,Neutral,"['book', 'nearbi', 'sofa', 'fill', 'small', 'hour']",-0.25
cold night with some warm thoughts i picked up the book,cold night warm thought pick book,1,11,Positive,"['cold', 'night', 'warm', 'thought', 'pick', 'book']",0.0
and started browsing i must have turned only a few pages,start brows must turn page,0,11,Neutral,"['start', 'brow', 'turn', 'page']",0.0
of the book about which i do not remember a thing today,book rememb thing today,0,12,Neutral,"['book', 'rememb', 'thing', 'today']",0.0
it was some popular book related to business,popular book relat busi,3,8,Positive,"['popular', 'book', 'relat', 'busi']",0.6
management i was not really reading it only skimming over,manag realli read skim,0,10,Neutral,"['manag', 'realli', 'read', 'skim']",0.0
paragraphs and turning pages suddenly my eyes fell on a,paragraph turn page suddenli eye fell,0,10,Neutral,"['paragraph', 'turn', 'page', 'suddenli', 'eye', 'fall']",0.0
passage in the book it was a quotation from george,passag book quotat georg,0,10,Neutral,"['passag', 'book', 'quotat', 'georg']",0.0
bernard shaw the gist of the quote was that all,bernard shaw gist quot,0,10,Neutral,"['bernard', 'shaw', 'gist', 'quot']",0.0
reasonable men adapt themselves to the world only a few,reason men adapt world,0,10,Neutral,"['reason', 'man', 'adapt', 'world']",0.0
unreasonable ones persist in trying to adapt the world to,unreason one persist tri adapt world,0,10,Neutral,"['unreason', 'persist', 'tri', 'adapt', 'world']",0.0
themselves all progress in the world depends on these,progress world depend,2,9,Positive,"['progress', 'world', 'depend']",0.0
unreasonable men and their innovative and often,unreason men innov often,2,7,Positive,"['unreason', 'man', 'innov']",0.0
nonconformist actions,nonconformist action,0,2,Neutral,"['nonconformist', 'action']",0.1
i started reading the book from the bernard shaw,start read book bernard shaw,0,9,Neutral,"['start', 'read', 'book', 'bernard', 'shaw']",0.0
passage onwards the author was describing certain,passag onward author describ certain,1,7,Positive,"['passag', 'onward', 'author', 'describ', 'certain']",0.21428571428571427
myths woven around the concept and the process of,myth woven around concept process,-1,9,Negative,"['myth', 'weave', 'concept', 'process']",0.0
innovation in industry and business i read about the myth of,innov industri busi read myth,0,11,Neutral,"['innov', 'industri', 'busi', 'read', 'myth']",0.0
strategic planning it is generally believed that substantial,strateg plan gener believ substanti,1,8,Positive,"['strateg', 'plan', 'gener', 'believ', 'substanti']",0.0
strategic and technological planning greatly increases the,strateg technolog plan greatli increas,1,7,Positive,"['strateg', 'technolog', 'plan', 'greatli', 'increas']",0.0
odds of a ‘no surprises’ outcome the author was of the,odd surpris outcom author,-3,11,Negative,"['odd', 'surpris', 'outcom', 'author']",-0.16666666666666666
opinion that it is essential for a project manager to learn to,opinion essenti project manag learn,0,12,Neutral,"['opinion', 'essenti', 'project', 'manag', 'learn']",0.0
live with uncertainty and ambiguity he felt that it was a myth,live uncertainti ambigu felt myth,-1,12,Negative,"['live', 'uncertainti', 'ambigu', 'feel', 'myth']",0.13636363636363635
to hold that the key to economic success is computability a,hold key econom success comput,2,11,Positive,"['hold', 'key', 'econom', 'success', 'comput']",0.15
quotation from general george patton was given as a,quotat gener georg patton given,0,9,Neutral,"['quotat', 'gener', 'georg', 'patton', 'give']",0.0
counterpoint to this myth—that a good plan violently,counterpoint myth good plan violent,2,8,Positive,"['counterpoint', 'myth', 'good', 'plan', 'violent']",-0.050000000000000044
executed right now is far better than a perfect plan,execut right far better perfect plan,3,10,Positive,"['execut', 'right', 'far', 'well', 'perfect', 'plan']",0.4714285714285714
executed next week it is a myth that to win big one must,execut next week myth win big one must,4,13,Positive,"['execut', 'week', 'myth', 'win', 'big']",0.26666666666666666
strive to optimize the author felt optimization wins only on,strive optim author felt optim win,4,10,Positive,"['strive', 'optim', 'author', 'feel', 'optim', 'win']",0.8
paper but would invariably lose later in the real world the,paper would invari lose later real world,0,11,Neutral,"['paper', 'invari', 'lose', 'later', 'real', 'world']",0.1
book said,book said,0,2,Neutral,"['book', 'say']",0.0
waiting in the hotel lobby at 1 am for an appointment,wait hotel lobbi appoint,-2,11,Negative,"['wait', 'hotel', 'lobbi', 'appoint']",0.0
two hours later was certainly not a reasonable proposition,two hour later certainli reason proposit,0,9,Neutral,"['hour', 'later', 'certainli', 'reason', 'proposit']",0.0
neither for me nor for prof sarabhai but then prof,neither prof sarabhai prof,0,10,Neutral,"['prof', 'sarabhai', 'prof']",0.0
sarabhai had always exhibited a strong component of,sarabhai alway exhibit strong compon,2,8,Positive,"['sarabhai', 'alway', 'exhibit', 'strong', 'compon']",0.4333333333333333
unorthodoxy in his character he was running the show of,unorthodoxi charact run show,0,10,Neutral,"['unorthodoxi', 'charact', 'run']",0.0
space research in the country—understaffed overworked,space research countri understaf overwork,0,6,Neutral,"['space', 'research', 'countri', 'understaf', 'overwork']",0.0
— nevertheless in a successful manner,nevertheless success manner,3,6,Positive,"['success', 'manner']",0.3
suddenly i became aware of another man who came,suddenli becam awar anoth man came,0,9,Neutral,"['suddenli', 'becam', 'awar', 'anoth', 'man', 'come']",0.0
and sat down on the sofa opposite mine he was a well,sat sofa opposit mine well,0,12,Neutral,"['sit', 'sofa', 'opposit']",0.0
built person with an intelligent look and refined posture,built person intellig look refin postur,2,9,Positive,"['build', 'person', 'intellig', 'look', 'refin', 'postur']",0.0
unlike me—always disorderly in my dress— this man was,unlik alway disorderli dress man,0,9,Neutral,"['unlik', 'alway', 'disorderli', 'dress', 'man']",0.0
wearing elegant clothes notwithstanding the odd hours he,wear eleg cloth notwithstand odd hour,0,8,Neutral,"['wear', 'eleg', 'cloth', 'notwithstand', 'odd', 'hour']",-0.16666666666666666
was alert and vivacious,alert vivaci,2,4,Positive,"['alert', 'vivaci']",0.0
there was a strange magnetism about him which,strang magnet,-1,8,Negative,"['strang', 'magnet']",0.0
derailed the train of my thoughts on innovation and before i,derail train thought innov,-1,11,Negative,"['derail', 'train', 'think', 'innov']",0.0
could get back to the book i was informed that prof,could get back book inform prof,0,11,Neutral,"['book', 'inform', 'prof']",0.0
sarabhai was ready to receive me i left the book on the,sarabhai readi receiv left book,-1,12,Negative,"['sarabhai', 'readi', 'receiv', 'leave', 'book']",0.0
nearby sofa from where i had picked it up i was surprised,nearbi sofa pick surpris,0,12,Neutral,"['nearbi', 'sofa', 'pick', 'surpris']",0.0
when the man sitting on the opposite sofa was also asked,man sit opposit sofa also ask,0,11,Neutral,"['man', 'sit', 'opposit', 'sofa', 'ask']",0.0
to come inside who was he it was not long before my,come insid long,0,12,Neutral,"['come', 'insid', 'long']",-0.05
question was answered even before we sat down prof,question answer even sat prof,0,9,Neutral,"['question', 'answer', 'sit', 'prof']",0.0
sarabhai introduced us to each other he was group,sarabhai introduc us group,0,9,Neutral,"['sarabhai', 'introduc', 'group']",0.0
captain vs narayanan from air headquarters,captain vs narayanan air headquart,0,6,Neutral,"['captain', 'narayanan', 'air', 'headquart']",0.0
prof sarabhai ordered coffee for both of us and,prof sarabhai order coffe us,0,9,Neutral,"['prof', 'sarabhai', 'order', 'coffe']",0.0
unfolded his plan of developing a rocketassisted takeoff,unfold plan develop rocketassist takeoff,0,8,Neutral,"['unfold', 'plan', 'develop', 'rocketassist', 'takeoff']",0.0
system rato for military aircraft this would help our,system rato militari aircraft would help,2,9,Positive,"['system', 'rato', 'militari', 'aircraft', 'help']",0.0
warplanes to take off from short runways in the himalayas,warplan take short runway himalaya,0,10,Neutral,"['warplan', 'short', 'runway', 'himalaya']",0.0
hot coffee was served over small talk it was totally,hot coffe serv small talk total,0,10,Neutral,"['hot', 'coffe', 'serv', 'small', 'talk', 'total']",0.0
uncharacteristic of prof sarabhai but as soon as we,uncharacterist prof sarabhai soon,0,9,Neutral,"['uncharacterist', 'prof', 'sarabhai', 'soon']",0.0
finished the coffee prof sarabhai rose and asked us to,finish coffe prof sarabhai rose ask us,0,10,Neutral,"['finish', 'coffe', 'prof', 'sarabhai', 'rise', 'ask']",0.6
accompany him to tilpat range on the outskirts of delhi,accompani tilpat rang outskirt delhi,0,10,Neutral,"['accompani', 'tilpat', 'rang', 'outskirt', 'delhi']",0.0
as we were passing through the lobby i threw a cursory,pass lobbi threw cursori,-2,11,Negative,"['pass', 'lobbi', 'throw', 'cursori']",0.0
glance at the sofa where i had left the book it was not there,glanc sofa left book,-1,14,Negative,"['glanc', 'sofa', 'leave', 'book']",0.0
it was about an hour’s drive to the range prof,hour drive rang prof,0,10,Neutral,"['hour', 'drive', 'rang', 'prof']",0.0
sarabhai showed us a russian rato “if i get you the,sarabhai show us russian rato get,0,11,Neutral,"['sarabhai', 'russian', 'rato']",0.0
motors of this system from russia could you do it in,motor system russia could,0,11,Neutral,"['motor', 'system', 'russia']",0.0
eighteen months time” prof sarabhai asked us “yes we,eighteen month time prof sarabhai ask us ye,1,9,Positive,"['eighteen', 'month', 'time', 'prof', 'sarabhai', 'ask']",0.0
can” both gp capt vs narayanan and i spoke almost,gp capt vs narayanan spoke almost,0,10,Neutral,"['capt', 'narayanan', 'speak']",0.0
simultaneously prof sarabhai’s face beamed reflecting,simultan prof sarabhai face beam reflect,0,6,Neutral,"['simultan', 'prof', 'sarabhai', 'face', 'beam', 'reflect']",0.0
our fascination i recalled what i had read “he will bestow,fascin recal read bestow,0,11,Neutral,"['fascin', 'recal', 'read', 'bestow']",0.0
on you a light to walk in”,light walk,0,7,Neutral,"['light', 'walk']",0.4
after dropping us back at the hotel ashoka prof,drop us back hotel ashoka prof,-1,9,Negative,"['drop', 'hotel', 'ashoka', 'prof']",0.0
sarabhai went to the prime minister’s house for a,sarabhai went prime minist hous,0,9,Neutral,"['sarabhai', 'go', 'prime', 'minist', 'hous']",0.0
breakfast meeting by that evening the news of india taking,breakfast meet even news india take,0,10,Neutral,"['breakfast', 'meet', 'news', 'india']",0.0
up the indigenous development of a device to help short run,indigen develop devic help short run,2,11,Positive,"['indigen', 'develop', 'devic', 'help', 'short', 'run']",0.0
takeoffs by high performance military aircraft with myself,takeoff high perform militari aircraft,0,8,Neutral,"['takeoff', 'high', 'perform', 'militari', 'aircraft']",0.16
heading the project was made public i was filled with many,head project made public fill mani,0,11,Neutral,"['head', 'project', 'public', 'fill', 'mani']",0.0
emotions— happiness gratitude a sense of fulfilment and,emot happi gratitud sens fulfil,3,8,Positive,"['emot', 'happi', 'gratitud', 'sens', 'fulfil']",0.0
these lines from a littleknown poet of the nineteenthcentury,line littleknown poet nineteenthcenturi,0,9,Neutral,"['line', 'littleknown', 'poet', 'nineteenthcenturi']",0.0
crossed my mind,cross mind,0,3,Neutral,"['cross', 'mind']",0.0
for all your days prepare,day prepar,0,5,Neutral,"['day', 'prepar']",0.0
and meet them ever alike,meet ever alik,0,5,Neutral,"['meet', 'alik']",0.0
when you are the anvil bear –,anvil bear,0,7,Neutral,"['anvil', 'bear']",0.0
when you are the hammer strike,hammer strike,-1,6,Negative,"['hammer', 'strike']",0.0
rato motors were mounted on aircraft to provide the,rato motor mount aircraft provid,0,9,Neutral,"['rato', 'motor', 'mount', 'aircraft', 'provid']",0.0
additional thrust required during the takeoff run under,addit thrust requir takeoff run,0,8,Neutral,"['addit', 'thrust', 'requir', 'takeoff', 'run']",0.0
certain adverse operating conditions like partially bombed,certain advers oper condit like partial bomb,2,7,Positive,"['certain', 'adver', 'oper', 'condit', 'like', 'partial', 'bomb']",0.057142857142857134
out runways high altitude airfields more than the,runway high altitud airfield,0,8,Neutral,"['runway', 'high', 'altitud', 'airfield']",0.16
prescribed load or very high ambient temperatures the,prescrib load high ambient temperatur,0,8,Neutral,"['prescrib', 'load', 'high', 'ambient', 'temperatur']",0.16
air force was in dire need of a large number of rato,air forc dire need larg number rato,-3,12,Negative,"['air', 'forc', 'dire', 'need', 'larg', 'number', 'rato']",0.0
motors for their s22 and hf24 aircraft,motor hf aircraft,0,7,Neutral,"['motor', 'aircraft']",0.0
the russian rato motor shown to us at the tilpat,russian rato motor shown us tilpat,0,10,Neutral,"['russian', 'rato', 'motor', 'show', 'tilpat']",0.0
range was capable of generating a 3000 kg thrust with a,rang capabl gener kg thrust,1,11,Positive,"['rang', 'capabl', 'gener', 'thrust']",0.0
total impulse of 24500 kgseconds it weighed 220 kg and,total impuls kgsecond weigh kg,0,10,Neutral,"['total', 'impuls', 'kgsecond', 'weigh']",0.0
had a double base propellant encased in steel the,doubl base propel encas steel,0,9,Neutral,"['doubl', 'base', 'propel', 'enca', 'steel']",-0.8
development work was to be carried out at the space,develop work carri space,0,10,Neutral,"['develop', 'work', 'carri', 'space']",0.0
science and technology centre with the assistance of the,scienc technolog centr assist,0,9,Neutral,"['scienc', 'technolog', 'centr', 'assist']",0.0
defence research and development organization,defenc research develop organ,0,5,Neutral,"['defenc', 'research', 'develop', 'organ']",0.0
drdo hal dtdpair and air headquarters,drdo hal dtdpair air headquart,0,6,Neutral,"['drdo', 'hal', 'dtdpair', 'air', 'headquart']",0.0
after a detailed analysis of the available options i,detail analysi avail option,0,9,Neutral,"['detail', 'analysi', 'avail', 'option']",0.0
chose a fibreglass motor casing we decided in favour of a,chose fibreglass motor case decid favour,0,11,Neutral,"['choose', 'fibreglass', 'motor', 'case', 'decid', 'favour']",0.0
composite propellant which gives a higher specific impulse,composit propel give higher specif impuls,0,8,Neutral,"['composit', 'propel', 'high', 'specif', 'impuls']",0.25
and aimed at a longer burning time to utilize it completely i,aim longer burn time util complet,0,12,Neutral,"['aim', 'long', 'burn', 'time', 'util', 'complet']",0.0
also decided to take additional safety measures by,also decid take addit safeti measur,1,8,Positive,"['decid', 'addit', 'safeti', 'measur']",0.0
incorporating a diaphragm which would rupture if the,incorpor diaphragm would ruptur,0,8,Neutral,"['incorpor', 'diaphragm', 'ruptur']",0.0
chamber pressure for some reason exceeded twice the,chamber pressur reason exceed twice,-1,8,Negative,"['chamber', 'pressur', 'reason', 'exceed', 'twice']",0.0
operating pressure two significant developments occurred,oper pressur two signific develop occur,0,6,Neutral,"['oper', 'pressur', 'signific', 'develop', 'occur']",0.0
during the work on rato the first was the release of a,work rato first releas,0,12,Neutral,"['work', 'rato', 'releas']",0.25
tenyear profile for space research in the country prepared,tenyear profil space research countri prepar,0,9,Neutral,"['tenyear', 'profil', 'space', 'research', 'countri', 'prepar']",0.0
by prof sarabhai this profile was not merely an activity,prof sarabhai profil mere activ,0,10,Neutral,"['prof', 'sarabhai', 'profil', 'mere', 'activ']",-0.5
plan laid down by the top man for his team to comply with it,plan laid top man team compli,2,14,Positive,"['plan', 'lay', 'man', 'team', 'compli']",0.5
was a theme paper meant for open discussions to be later,theme paper meant open discuss later,0,11,Neutral,"['theme', 'paper', 'mean', 'open', 'discuss', 'later']",0.0
transformed into a programme in fact i found it was the,transform programm fact found,0,11,Neutral,"['transform', 'programm', 'fact', 'find']",0.0
romantic manifesto of a person deeply in love with the,romant manifesto person deepli love,3,10,Positive,"['romant', 'manifesto', 'person', 'deepli', 'love']",0.5
space research programme in his country,space research programm countri,0,6,Neutral,"['space', 'research', 'programm', 'countri']",0.0
the plan mainly centred around the early ideas which,plan mainli centr around earli idea,0,9,Neutral,"['plan', 'mainli', 'centr', 'earli', 'idea']",0.0
had been born at incospar it included utilization of,born incospar includ util,0,9,Neutral,"['bear', 'incospar', 'includ', 'util']",0.0
satellites for television and developmental education,satellit televis development educ,0,6,Neutral,"['satellit', 'televis', 'development', 'educ']",0.0
meteorological observations and remote sensing for,meteorolog observ remot sens,0,6,Neutral,"['meteorolog', 'observ', 'remot', 'sens']",0.0
management of natural resources to this had been added,manag natur resourc ad,1,9,Positive,"['manag', 'natur', 'resourc']",0.0
the development and launch of satellite launch vehicles,develop launch satellit launch vehicl,0,8,Neutral,"['develop', 'launch', 'satellit', 'launch', 'vehicl']",0.0
the active international cooperation dominant in the,activ intern cooper domin,1,7,Positive,"['activ', 'intern', 'cooper', 'domin']",0.0
early years was virtually eased out in this plan and the,earli year virtual eas plan,2,11,Positive,"['earli', 'year', 'virtual', 'ea', 'plan']",0.0
emphasis was on selfreliance and indigenous,emphasi selfreli indigen,0,6,Neutral,"['emphasi', 'selfreli', 'indigen']",0.0
technologies the plan talked about the realisation of a,technolog plan talk realis,0,9,Neutral,"['technolog', 'plan', 'talk', 'reali']",0.0
slv for injecting lightweight satellites into a low earth orbit,slv inject lightweight satellit low earth orbit,0,10,Neutral,"['slv', 'inject', 'lightweight', 'satellit', 'low', 'earth', 'orbit']",0.0
upgrading of indian satellites from laboratory models to,upgrad indian satellit laboratori model,0,8,Neutral,"['upgrad', 'indian', 'satellit', 'laboratori', 'model']",0.0
space entities and development of a wide range of,space entiti develop wide rang,0,9,Neutral,"['space', 'entiti', 'develop', 'wide', 'rang']",-0.1
spacecraft subsystems like the apogee and booster,spacecraft subsystem like apoge booster,2,7,Positive,"['spacecraft', 'subsystem', 'like', 'apoge', 'booster']",0.0
motors momentum wheel and solar panel deployment,motor momentum wheel solar panel deploy,0,7,Neutral,"['motor', 'momentum', 'wheel', 'solar', 'panel', 'deploy']",0.0
mechanism it also promised a wide range of technological,mechan also promis wide rang technolog,1,9,Positive,"['mechan', 'promi', 'wide', 'rang', 'technolog']",-0.1
spinoffs like the gyros various types of transducers,spinoff like gyro variou type transduc,2,8,Positive,"['spinoff', 'like', 'gyro', 'variou', 'type', 'transduc']",0.0
telemetry adhesives and polymers for nonspace,telemetri adhes polym nonspac,0,6,Neutral,"['telemetri', 'adhe', 'polym', 'nonspac']",0.0
